arch_str,train_loss,iteration,num_parameters
8:32:32:32:32:64:64|id:z:d3r2:dw3x3:dw3x3:d3r4:d3r2:id:c1x3:id,0.9997908473014832,1,475625
8:64:32:8:16:64:64|d3r2:id:dw3x3:d3r2:id:c1x1:c1x3:id:dw3x3:dw3x3,0.9997783303260803,2,432169
32:16:8:16:8:64:16|z:dw3x3:c1x3:d3r2:id:c1x5:c1x1:c1x5:d3r2:c1x5,0.9996690154075623,3,225529
8:8:8:32:8:16:32|z:id:z:c1x5:c1x5:id:z:dw3x3:id:dw3x3,0.9997819662094116,4,32305
64:16:32:16:64:8:8|dw3x3:c1x3:d3r2:c1x5:c1x1:d3r4:dw3x3:d3r2:z:d3r2,0.9997855424880981,5,530441
8:64:32:16:8:32:32|d3r4:id:d3r2:dw3x3:c1x1:d3r2:c1x5:c1x5:d3r2:c1x1,0.999720573425293,6,468233
16:32:32:16:8:32:64|z:c1x5:d3r4:id:id:z:c1x3:id:d3r4:c1x3,0.9998119473457336,7,258321
16:64:16:64:8:32:32|c1x5:c1x5:d3r2:dw3x3:d3r4:c1x3:c1x1:z:id:c1x5,0.9997676014900208,8,595113
8:64:8:32:32:16:16|d3r4:d3r4:z:z:dw3x3:id:dw3x3:id:id:z,0.999794065952301,9,88593
8:64:16:16:16:64:32|d3r2:c1x3:z:c1x3:c1x3:c1x1:d3r4:dw3x3:z:c1x5,0.9997329115867615,10,492609
8:64:32:32:8:32:8|d3r2:dw3x3:id:c1x5:c1x3:d3r4:id:d3r2:d3r2:c1x5,0.9997996091842651,11,467473
16:16:16:64:8:64:16|c1x1:d3r2:d3r2:dw3x3:c1x5:dw3x3:dw3x3:c1x3:c1x5:id,0.9997172355651855,12,412825
64:64:32:32:8:32:32|d3r4:c1x5:c1x3:c1x5:d3r4:z:c1x3:c1x1:d3r2:id,0.9997977018356323,13,774305
32:32:8:16:16:16:32|c1x5:id:d3r4:d3r4:c1x3:c1x3:d3r4:c1x3:dw3x3:id,0.9997974038124084,14,234305
64:16:8:32:16:32:64|id:id:c1x5:c1x1:z:d3r4:c1x5:d3r4:id:c1x5,0.9997646808624268,15,537977
8:16:64:16:64:8:8|dw3x3:c1x3:id:dw3x3:c1x3:c1x3:id:d3r2:id:id,0.9998049736022949,16,245369
16:64:64:64:64:16:32|c1x5:c1x1:d3r2:d3r2:c1x3:d3r2:d3r2:c1x3:id:id,0.9998210668563843,17,1042969
8:32:16:8:16:64:64|d3r4:c1x1:id:dw3x3:c1x3:d3r4:z:d3r4:d3r2:c1x5,0.9997488856315613,18,538089
16:16:8:16:64:64:16|c1x5:dw3x3:id:d3r2:c1x1:c1x5:d3r4:c1x3:z:id,0.9997413754463196,19,406577
8:16:16:32:32:64:32|c1x3:id:id:d3r2:d3r2:c1x5:d3r2:id:id:dw3x3,0.9997157454490662,20,356097
32:8:8:8:8:8:64|d3r2:c1x3:z:z:id:id:d3r2:c1x1:dw3x3:dw3x3,0.9997414350509644,21,90849
64:32:64:64:8:16:32|z:id:z:c1x1:z:c1x3:c1x1:c1x5:d3r4:z,0.9997995495796204,1,262033
32:32:32:64:64:32:16|dw3x3:z:d3r2:c1x5:id:d3r4:c1x1:c1x5:d3r4:c1x3,0.9997923374176025,2,691697
32:16:32:16:8:16:16|z:c1x3:c1x1:id:d3r4:c1x5:id:c1x3:z:id,0.9999173879623413,3,59233
8:64:8:32:64:8:32|d3r2:d3r4:c1x1:c1x1:dw3x3:dw3x3:c1x5:id:id:d3r2,0.9997665882110596,4,291257
32:32:16:8:64:16:64|dw3x3:dw3x3:c1x1:z:d3r4:id:dw3x3:id:c1x5:c1x3,0.9997274875640869,5,316649
8:32:16:64:32:16:32|dw3x3:c1x3:d3r4:id:z:d3r4:c1x1:id:c1x1:d3r2,0.9998067021369934,6,282657
8:16:8:16:8:32:16|c1x3:c1x1:d3r2:d3r4:z:d3r2:c1x3:c1x1:d3r4:d3r4,0.9997982382774353,7,122513
64:64:64:32:64:64:16|c1x1:c1x5:d3r4:id:dw3x3:c1x3:c1x5:z:c1x5:z,0.9997678995132446,8,1093929
32:64:32:32:64:8:32|c1x1:c1x3:d3r2:id:d3r2:c1x1:c1x3:c1x3:id:d3r2,0.9998420476913452,9,585033
64:64:64:16:32:64:64|c1x3:z:c1x5:c1x5:d3r4:id:c1x5:c1x3:d3r4:c1x3,0.9998190999031067,10,1516473
